enroll_id,grade,counts,year
74101,G7,13,2023
74101,G8,7,2023
74101,G9,11,2023
74101,G10,11,2023
74101,JHS,0,2023
74103,G7,29,2023
74103,G8,34,2023
74103,G9,47,2023
74103,G10,40,2023
74103,JHS,0,2023
74102,G7,40,2023
74102,G8,51,2023
74102,G9,45,2023
74102,G10,49,2023
74102,JHS,0,2023
74105,G7,33,2023
74105,G8,46,2023
74105,G9,46,2023
74105,G10,42,2023
74105,JHS,0,2023
74104,G7,28,2023
74104,G8,57,2023
74104,G9,45,2023
74104,G10,43,2023
74104,JHS,0,2023
74106,G7,69,2023
74106,G8,82,2023
74106,G9,84,2023
74106,G10,86,2023
74106,JHS,0,2023
74107,G7,79,2023
74107,G8,69,2023
74107,G9,73,2023
74107,G10,127,2023
74107,JHS,0,2023
74108,G7,85,2023
74108,G8,84,2023
74108,G9,88,2023
74108,G10,106,2023
74108,JHS,0,2023
74109,G7,73,2023
74109,G8,86,2023
74109,G9,90,2023
74109,G10,84,2023
74109,JHS,0,2023
74110,G7,6,2023
74110,G8,14,2023
74110,G9,12,2023
74110,G10,20,2023
74110,JHS,0,2023
74111,G7,17,2023
74111,G8,31,2023
74111,G9,21,2023
74111,G10,31,2023
74111,JHS,0,2023
74112,G7,28,2023
74112,G8,31,2023
74112,G9,41,2023
74112,G10,24,2023
74112,JHS,0,2023
74113,G7,41,2023
74113,G8,42,2023
74113,G9,44,2023
74113,G10,39,2023
74113,JHS,0,2023
74114,G7,39,2023
74114,G8,54,2023
74114,G9,55,2023
74114,G10,66,2023
74114,JHS,0,2023
74115,G7,32,2023
74115,G8,63,2023
74115,G9,77,2023
74115,G10,56,2023
74115,JHS,0,2023
74117,G7,15,2023
74117,G8,20,2023
74117,G9,18,2023
74117,G10,21,2023
74117,JHS,0,2023
74116,G7,19,2023
74116,G8,25,2023
74116,G9,25,2023
74116,G10,20,2023
74116,JHS,0,2023
74118,G7,6,2023
74118,G8,12,2023
74118,G9,16,2023
74118,G10,15,2023
74118,JHS,0,2023
74119,G7,11,2023
74119,G8,15,2023
74119,G9,24,2023
74119,G10,23,2023
74119,JHS,0,2023
74121,G7,246,2023
74121,G8,324,2023
74121,G9,320,2023
74121,G10,370,2023
74121,JHS,0,2023
74120,G7,260,2023
74120,G8,274,2023
74120,G9,314,2023
74120,G10,310,2023
74120,JHS,0,2023
74123,G7,22,2023
74123,G8,20,2023
74123,G9,20,2023
74123,G10,22,2023
74123,JHS,0,2023
74122,G7,22,2023
74122,G8,25,2023
74122,G9,28,2023
74122,G10,31,2023
74122,JHS,0,2023
74125,G7,7,2023
74125,G8,18,2023
74125,G9,16,2023
74125,G10,21,2023
74125,JHS,0,2023
74124,G7,18,2023
74124,G8,23,2023
74124,G9,20,2023
74124,G10,21,2023
74124,JHS,0,2023
74127,G7,16,2023
74127,G8,15,2023
74127,G9,18,2023
74127,G10,15,2023
74127,JHS,0,2023
74126,G7,22,2023
74126,G8,24,2023
74126,G9,21,2023
74126,G10,26,2023
74126,JHS,0,2023
74129,G7,17,2023
74129,G8,17,2023
74129,G9,16,2023
74129,G10,20,2023
74129,JHS,0,2023
74128,G7,17,2023
74128,G8,24,2023
74128,G9,21,2023
74128,G10,16,2023
74128,JHS,0,2023
74131,G7,4,2023
74131,G8,16,2023
74131,G9,8,2023
74131,G10,10,2023
74131,JHS,0,2023
74130,G7,15,2023
74130,G8,13,2023
74130,G9,10,2023
74130,G10,13,2023
74130,JHS,0,2023
74132,G7,30,2023
74132,G8,43,2023
74132,G9,39,2023
74132,G10,38,2023
74132,JHS,0,2023
74133,G7,33,2023
74133,G8,42,2023
74133,G9,29,2023
74133,G10,36,2023
74133,JHS,0,2023
74134,G7,24,2023
74134,G8,31,2023
74134,G9,41,2023
74134,G10,49,2023
74134,JHS,0,2023
74135,G7,37,2023
74135,G8,36,2023
74135,G9,37,2023
74135,G10,40,2023
74135,JHS,0,2023
74137,G7,11,2023
74137,G8,13,2023
74137,G9,11,2023
74137,G10,12,2023
74137,JHS,0,2023
74136,G7,12,2023
74136,G8,16,2023
74136,G9,14,2023
74136,G10,23,2023
74136,JHS,0,2023
74138,G7,75,2023
74138,G8,123,2023
74138,G9,118,2023
74138,G10,136,2023
74138,JHS,0,2023
74139,G7,94,2023
74139,G8,122,2023
74139,G9,129,2023
74139,G10,132,2023
74139,JHS,0,2023
74141,G7,52,2023
74141,G8,75,2023
74141,G9,71,2023
74141,G10,84,2023
74141,JHS,0,2023
74140,G7,69,2023
74140,G8,69,2023
74140,G9,72,2023
74140,G10,68,2023
74140,JHS,0,2023
74143,G7,21,2023
74143,G8,23,2023
74143,G9,27,2023
74143,G10,34,2023
74143,JHS,0,2023
74142,G7,34,2023
74142,G8,36,2023
74142,G9,40,2023
74142,G10,48,2023
74142,JHS,0,2023
74144,G7,43,2023
74144,G8,52,2023
74144,G9,48,2023
74144,G10,70,2023
74144,JHS,0,2023
74145,G7,60,2023
74145,G8,71,2023
74145,G9,64,2023
74145,G10,69,2023
74145,JHS,0,2023
74146,G7,20,2023
74146,G8,26,2023
74146,G9,21,2023
74146,G10,23,2023
74146,JHS,0,2023
74147,G7,18,2023
74147,G8,21,2023
74147,G9,26,2023
74147,G10,24,2023
74147,JHS,0,2023
74149,G7,154,2023
74149,G8,159,2023
74149,G9,203,2023
74149,G10,189,2023
74149,JHS,0,2023
74148,G7,154,2023
74148,G8,188,2023
74148,G9,198,2023
74148,G10,213,2023
74148,JHS,0,2023
74151,G7,73,2023
74151,G8,77,2023
74151,G9,84,2023
74151,G10,101,2023
74151,JHS,0,2023
74150,G7,73,2023
74150,G8,96,2023
74150,G9,97,2023
74150,G10,105,2023
74150,JHS,0,2023
74153,G7,7,2023
74153,G8,10,2023
74153,G9,14,2023
74153,G10,10,2023
74153,JHS,0,2023
74152,G7,18,2023
74152,G8,18,2023
74152,G9,9,2023
74152,G10,10,2023
74152,JHS,0,2023
74155,G7,187,2023
74155,G8,265,2023
74155,G9,279,2023
74155,G10,280,2023
74155,JHS,0,2023
74154,G7,207,2023
74154,G8,240,2023
74154,G9,264,2023
74154,G10,303,2023
74154,JHS,0,2023
74156,G7,21,2023
74156,G8,22,2023
74156,G9,26,2023
74156,G10,26,2023
74156,JHS,0,2023
74157,G7,22,2023
74157,G8,38,2023
74157,G9,34,2023
74157,G10,27,2023
74157,JHS,0,2023
74159,G7,56,2023
74159,G8,72,2023
74159,G9,66,2023
74159,G10,64,2023
74159,JHS,0,2023
74158,G7,51,2023
74158,G8,57,2023
74158,G9,69,2023
74158,G10,66,2023
74158,JHS,0,2023
74160,G7,45,2023
74160,G8,63,2023
74160,G9,47,2023
74160,G10,54,2023
74160,JHS,0,2023
74161,G7,43,2023
74161,G8,60,2023
74161,G9,64,2023
74161,G10,68,2023
74161,JHS,0,2023
74163,G7,171,2023
74163,G8,217,2023
74163,G9,239,2023
74163,G10,261,2023
74163,JHS,0,2023
74162,G7,175,2023
74162,G8,215,2023
74162,G9,218,2023
74162,G10,279,2023
74162,JHS,0,2023
74165,G7,30,2023
74165,G8,36,2023
74165,G9,31,2023
74165,G10,41,2023
74165,JHS,0,2023
74164,G7,44,2023
74164,G8,41,2023
74164,G9,41,2023
74164,G10,46,2023
74164,JHS,0,2023
74167,G7,47,2023
74167,G8,53,2023
74167,G9,64,2023
74167,G10,55,2023
74167,JHS,0,2023
74166,G7,51,2023
74166,G8,63,2023
74166,G9,87,2023
74166,G10,79,2023
74166,JHS,0,2023
74169,G7,18,2023
74169,G8,29,2023
74169,G9,29,2023
74169,G10,35,2023
74169,JHS,0,2023
74168,G7,27,2023
74168,G8,34,2023
74168,G9,29,2023
74168,G10,41,2023
74168,JHS,0,2023
74170,G7,17,2023
74170,G8,24,2023
74170,G9,18,2023
74170,G10,35,2023
74170,JHS,0,2023
74171,G7,28,2023
74171,G8,28,2023
74171,G9,32,2023
74171,G10,41,2023
74171,JHS,0,2023
74172,G7,36,2023
74172,G8,43,2023
74172,G9,40,2023
74172,G10,52,2023
74172,JHS,0,2023
74173,G7,35,2023
74173,G8,48,2023
74173,G9,37,2023
74173,G10,46,2023
74173,JHS,0,2023
74175,G7,21,2023
74175,G8,42,2023
74175,G9,31,2023
74175,G10,42,2023
74175,JHS,0,2023
74174,G7,34,2023
74174,G8,46,2023
74174,G9,36,2023
74174,G10,31,2023
74174,JHS,0,2023
74177,G7,183,2023
74177,G8,233,2023
74177,G9,215,2023
74177,G10,226,2023
74177,JHS,0,2023
74176,G7,188,2023
74176,G8,194,2023
74176,G9,219,2023
74176,G10,254,2023
74176,JHS,0,2023
74179,G7,55,2023
74179,G8,53,2023
74179,G9,64,2023
74179,G10,50,2023
74179,JHS,0,2023
74178,G7,49,2023
74178,G8,57,2023
74178,G9,65,2023
74178,G10,75,2023
74178,JHS,0,2023
74181,G7,169,2023
74181,G8,248,2023
74181,G9,244,2023
74181,G10,267,2023
74181,JHS,0,2023
74180,G7,209,2023
74180,G8,255,2023
74180,G9,278,2023
74180,G10,272,2023
74180,JHS,0,2023
74183,G7,27,2023
74183,G8,39,2023
74183,G9,37,2023
74183,G10,39,2023
74183,JHS,0,2023
74182,G7,32,2023
74182,G8,37,2023
74182,G9,37,2023
74182,G10,47,2023
74182,JHS,0,2023
74184,G7,18,2023
74184,G8,12,2023
74184,G9,21,2023
74184,G10,17,2023
74184,JHS,0,2023
74185,G7,7,2023
74185,G8,23,2023
74185,G9,25,2023
74185,G10,24,2023
74185,JHS,0,2023
74186,G7,8,2023
74186,G8,13,2023
74186,G9,13,2023
74186,G10,15,2023
74186,JHS,0,2023
74187,G7,14,2023
74187,G8,11,2023
74187,G9,18,2023
74187,G10,23,2023
74187,JHS,0,2023
74189,G7,9,2023
74189,G8,19,2023
74189,G9,14,2023
74189,G10,25,2023
74189,JHS,0,2023
74188,G7,15,2023
74188,G8,19,2023
74188,G9,20,2023
74188,G10,24,2023
74188,JHS,0,2023
74191,G7,22,2023
74191,G8,25,2023
74191,G9,29,2023
74191,G10,27,2023
74191,JHS,0,2023
74190,G7,24,2023
74190,G8,43,2023
74190,G9,46,2023
74190,G10,35,2023
74190,JHS,0,2023
74193,G7,16,2023
74193,G8,18,2023
74193,G9,25,2023
74193,G10,23,2023
74193,JHS,0,2023
74192,G7,15,2023
74192,G8,19,2023
74192,G9,22,2023
74192,G10,19,2023
74192,JHS,0,2023
74195,G7,43,2023
74195,G8,29,2023
74195,G9,47,2023
74195,G10,42,2023
74195,JHS,0,2023
74194,G7,34,2023
74194,G8,46,2023
74194,G9,46,2023
74194,G10,38,2023
74194,JHS,0,2023
74197,G7,17,2023
74197,G8,16,2023
74197,G9,28,2023
74197,G10,14,2023
74197,JHS,0,2023
74196,G7,27,2023
74196,G8,33,2023
74196,G9,30,2023
74196,G10,27,2023
74196,JHS,0,2023
74199,G7,80,2023
74199,G8,67,2023
74199,G9,85,2023
74199,G10,93,2023
74199,JHS,0,2023
74198,G7,89,2023
74198,G8,81,2023
74198,G9,89,2023
74198,G10,98,2023
74198,JHS,0,2023
74201,G7,12,2023
74201,G8,16,2023
74201,G9,17,2023
74201,G10,24,2023
74201,JHS,0,2023
74200,G7,18,2023
74200,G8,17,2023
74200,G9,27,2023
74200,G10,14,2023
74200,JHS,0,2023
74203,G7,136,2023
74203,G8,155,2023
74203,G9,206,2023
74203,G10,214,2023
74203,JHS,0,2023
74202,G7,135,2023
74202,G8,158,2023
74202,G9,186,2023
74202,G10,218,2023
74202,JHS,0,2023
74204,G7,18,2023
74204,G8,31,2023
74204,G9,32,2023
74204,G10,26,2023
74204,JHS,0,2023
74205,G7,35,2023
74205,G8,42,2023
74205,G9,39,2023
74205,G10,42,2023
74205,JHS,0,2023
74206,G7,19,2023
74206,G8,18,2023
74206,G9,16,2023
74206,G10,18,2023
74206,JHS,0,2023
74207,G7,10,2023
74207,G8,14,2023
74207,G9,12,2023
74207,G10,19,2023
74207,JHS,0,2023
74209,G7,88,2023
74209,G8,100,2023
74209,G9,86,2023
74209,G10,109,2023
74209,JHS,0,2023
74208,G7,96,2023
74208,G8,65,2023
74208,G9,90,2023
74208,G10,103,2023
74208,JHS,0,2023
74211,G7,13,2023
74211,G8,21,2023
74211,G9,17,2023
74211,G10,17,2023
74211,JHS,0,2023
74210,G7,20,2023
74210,G8,22,2023
74210,G9,27,2023
74210,G10,30,2023
74210,JHS,0,2023
74213,G7,42,2023
74213,G8,45,2023
74213,G9,50,2023
74213,G10,46,2023
74213,JHS,0,2023
74212,G7,35,2023
74212,G8,52,2023
74212,G9,49,2023
74212,G10,48,2023
74212,JHS,0,2023
74215,G7,273,2023
74215,G8,295,2023
74215,G9,325,2023
74215,G10,318,2023
74215,JHS,0,2023
74214,G7,264,2023
74214,G8,280,2023
74214,G9,336,2023
74214,G10,355,2023
74214,JHS,0,2023
74217,G7,31,2023
74217,G8,31,2023
74217,G9,32,2023
74217,G10,34,2023
74217,JHS,0,2023
74216,G7,32,2023
74216,G8,31,2023
74216,G9,38,2023
74216,G10,33,2023
74216,JHS,0,2023
74219,G7,178,2023
74219,G8,154,2023
74219,G9,207,2023
74219,G10,251,2023
74219,JHS,0,2023
74218,G7,169,2023
74218,G8,203,2023
74218,G9,235,2023
74218,G10,242,2023
74218,JHS,0,2023
74221,G7,29,2023
74221,G8,36,2023
74221,G9,44,2023
74221,G10,42,2023
74221,JHS,0,2023
74220,G7,51,2023
74220,G8,50,2023
74220,G9,47,2023
74220,G10,61,2023
74220,JHS,0,2023
74223,G7,18,2023
74223,G8,26,2023
74223,G9,31,2023
74223,G10,31,2023
74223,JHS,0,2023
74222,G7,24,2023
74222,G8,35,2023
74222,G9,34,2023
74222,G10,45,2023
74222,JHS,0,2023
74224,G7,15,2023
74224,G8,11,2023
74224,G9,7,2023
74224,G10,11,2023
74224,JHS,0,2023
74225,G7,13,2023
74225,G8,13,2023
74225,G9,10,2023
74225,G10,8,2023
74225,JHS,0,2023
74227,G7,275,2023
74227,G8,349,2023
74227,G9,404,2023
74227,G10,424,2023
74227,JHS,0,2023
74226,G7,305,2023
74226,G8,332,2023
74226,G9,387,2023
74226,G10,454,2023
74226,JHS,0,2023
74229,G7,20,2023
74229,G8,31,2023
74229,G9,36,2023
74229,G10,31,2023
74229,JHS,0,2023
74228,G7,35,2023
74228,G8,37,2023
74228,G9,51,2023
74228,G10,35,2023
74228,JHS,0,2023
74231,G7,114,2023
74231,G8,147,2023
74231,G9,140,2023
74231,G10,173,2023
74231,JHS,0,2023
74230,G7,108,2023
74230,G8,148,2023
74230,G9,163,2023
74230,G10,145,2023
74230,JHS,0,2023
74233,G7,25,2023
74233,G8,32,2023
74233,G9,23,2023
74233,G10,37,2023
74233,JHS,0,2023
74232,G7,36,2023
74232,G8,37,2023
74232,G9,35,2023
74232,G10,26,2023
74232,JHS,0,2023
74235,G7,199,2023
74235,G8,254,2023
74235,G9,251,2023
74235,G10,276,2023
74235,JHS,0,2023
74234,G7,202,2023
74234,G8,223,2023
74234,G9,287,2023
74234,G10,241,2023
74234,JHS,0,2023
74237,G7,27,2023
74237,G8,44,2023
74237,G9,39,2023
74237,G10,42,2023
74237,JHS,0,2023
74236,G7,32,2023
74236,G8,43,2023
74236,G9,63,2023
74236,G10,61,2023
74236,JHS,0,2023
74238,G7,32,2023
74238,G8,40,2023
74238,G9,40,2023
74238,G10,42,2023
74238,JHS,0,2023
74239,G7,39,2023
74239,G8,42,2023
74239,G9,40,2023
74239,G10,50,2023
74239,JHS,0,2023
74241,G7,25,2023
74241,G8,17,2023
74241,G9,23,2023
74241,G10,17,2023
74241,JHS,0,2023
74240,G7,19,2023
74240,G8,11,2023
74240,G9,19,2023
74240,G10,22,2023
74240,JHS,0,2023
74243,G7,7,2023
74243,G8,13,2023
74243,G9,8,2023
74243,G10,11,2023
